"n","rho","k","method","rej"
"142",15,0.75,2,"pearson",0.921666666666667
"143",25,0.75,2,"pearson",0.994
"144",50,0.75,2,"pearson",1
"145",8,0.8,2,"pearson",0.714333333333333
"146",15,0.8,2,"pearson",0.961333333333333
"147",25,0.8,2,"pearson",0.998666666666667
"148",50,0.8,2,"pearson",1
"149",8,0.85,2,"pearson",0.804333333333333
"150",15,0.85,2,"pearson",0.992333333333333
"151",25,0.85,2,"pearson",1
"152",50,0.85,2,"pearson",1
"153",8,0.9,2,"pearson",0.909666666666667
"154",15,0.9,2,"pearson",0.999666666666667
"155",25,0.9,2,"pearson",1
"156",50,0.9,2,"pearson",1
"157",8,0.95,2,"pearson",0.987
"158",15,0.95,2,"pearson",1
"159",25,0.95,2,"pearson",1
"160",50,0.95,2,"pearson",1
"161",8,0,3,"pearson",0.0523333333333333
"162",15,0,3,"pearson",0.0486666666666667
"163",25,0,3,"pearson",0.0496666666666667
"164",50,0,3,"pearson",0.0556666666666667
"165",8,0.05,3,"pearson",0.0523333333333333
"166",15,0.05,3,"pearson",0.0526666666666667
"167",25,0.05,3,"pearson",0.0616666666666667
"168",50,0.05,3,"pearson",0.061
"169",8,0.1,3,"pearson",0.049
"170",15,0.1,3,"pearson",0.0633333333333333
"171",25,0.1,3,"pearson",0.071
"172",50,0.1,3,"pearson",0.098
"173",8,0.15,3,"pearson",0.0623333333333333
"174",15,0.15,3,"pearson",0.077
"175",25,0.15,3,"pearson",0.0993333333333333
"176",50,0.15,3,"pearson",0.152333333333333
"177",8,0.2,3,"pearson",0.0766666666666667
"178",15,0.2,3,"pearson",0.0976666666666667
"179",25,0.2,3,"pearson",0.137666666666667
"180",50,0.2,3,"pearson",0.238666666666667
"181",8,0.25,3,"pearson",0.0786666666666667
"182",15,0.25,3,"pearson",0.129666666666667
"183",25,0.25,3,"pearson",0.188
"184",50,0.25,3,"pearson",0.361
"185",8,0.3,3,"pearson",0.105666666666667
"186",15,0.3,3,"pearson",0.161666666666667
"187",25,0.3,3,"pearson",0.266666666666667
"188",50,0.3,3,"pearson",0.491666666666667
"189",8,0.35,3,"pearson",0.119333333333333
"190",15,0.35,3,"pearson",0.210333333333333
"191",25,0.35,3,"pearson",0.342666666666667
"192",50,0.35,3,"pearson",0.647
"193",8,0.4,3,"pearson",0.145666666666667
"194",15,0.4,3,"pearson",0.256
"195",25,0.4,3,"pearson",0.453333333333333
"196",50,0.4,3,"pearson",0.747333333333333
"197",8,0.45,3,"pearson",0.160666666666667
"198",15,0.45,3,"pearson",0.319
"199",25,0.45,3,"pearson",0.545
"200",50,0.45,3,"pearson",0.859333333333333
"201",8,0.5,3,"pearson",0.206
"202",15,0.5,3,"pearson",0.412666666666667
"203",25,0.5,3,"pearson",0.649
"204",50,0.5,3,"pearson",0.934333333333333
"205",8,0.55,3,"pearson",0.252666666666667
"206",15,0.55,3,"pearson",0.511
"207",25,0.55,3,"pearson",0.768
"208",50,0.55,3,"pearson",0.970666666666667
"209",8,0.6,3,"pearson",0.313333333333333
"210",15,0.6,3,"pearson",0.614
"211",25,0.6,3,"pearson",0.841333333333333
"212",50,0.6,3,"pearson",0.991333333333333
"213",8,0.65,3,"pearson",0.359333333333333
"214",15,0.65,3,"pearson",0.695666666666667
"215",25,0.65,3,"pearson",0.906333333333333
"216",50,0.65,3,"pearson",0.999333333333333
"217",8,0.7,3,"pearson",0.437333333333333
"218",15,0.7,3,"pearson",0.798666666666667
"219",25,0.7,3,"pearson",0.959333333333333
"220",50,0.7,3,"pearson",1
"221",8,0.75,3,"pearson",0.519333333333333
"222",15,0.75,3,"pearson",0.870333333333333
"223",25,0.75,3,"pearson",0.986
"224",50,0.75,3,"pearson",1
"225",8,0.8,3,"pearson",0.605333333333333
"226",15,0.8,3,"pearson",0.923666666666667
"227",25,0.8,3,"pearson",0.997
"228",50,0.8,3,"pearson",1
"229",8,0.85,3,"pearson",0.727666666666667
"230",15,0.85,3,"pearson",0.972333333333333
"231",25,0.85,3,"pearson",1
"232",50,0.85,3,"pearson",1
"233",8,0.9,3,"pearson",0.849
"234",15,0.9,3,"pearson",0.995333333333333
"235",25,0.9,3,"pearson",1
"236",50,0.9,3,"pearson",1
"237",8,0.95,3,"pearson",0.963
"238",15,0.95,3,"pearson",1
"239",25,0.95,3,"pearson",1
"240",50,0.95,3,"pearson",1
"241",8,0,4,"pearson",0.0486666666666667
"242",15,0,4,"pearson",0.0503333333333333
"243",25,0,4,"pearson",0.046
"244",50,0,4,"pearson",0.0546666666666667
"245",8,0.05,4,"pearson",0.0533333333333333
"246",15,0.05,4,"pearson",0.0456666666666667
"247",25,0.05,4,"pearson",0.0586666666666667
"248",50,0.05,4,"pearson",0.0566666666666667
"249",8,0.1,4,"pearson",0.0516666666666667
"250",15,0.1,4,"pearson",0.0496666666666667
"251",25,0.1,4,"pearson",0.0663333333333333
"252",50,0.1,4,"pearson",0.0976666666666667
"253",8,0.15,4,"pearson",0.0553333333333333
"254",15,0.15,4,"pearson",0.077
"255",25,0.15,4,"pearson",0.0956666666666667
"256",50,0.15,4,"pearson",0.139333333333333
"257",8,0.2,4,"pearson",0.065
"258",15,0.2,4,"pearson",0.0923333333333333
"259",25,0.2,4,"pearson",0.131333333333333
"260",50,0.2,4,"pearson",0.214333333333333
"261",8,0.25,4,"pearson",0.0686666666666667
"262",15,0.25,4,"pearson",0.115
"263",25,0.25,4,"pearson",0.171
"264",50,0.25,4,"pearson",0.312666666666667
"265",8,0.3,4,"pearson",0.0916666666666667
"266",15,0.3,4,"pearson",0.142
"267",25,0.3,4,"pearson",0.229333333333333
"268",50,0.3,4,"pearson",0.415333333333333
"269",8,0.35,4,"pearson",0.101
"270",15,0.35,4,"pearson",0.202
"271",25,0.35,4,"pearson",0.290666666666667
"272",50,0.35,4,"pearson",0.559666666666667
"273",8,0.4,4,"pearson",0.127666666666667
"274",15,0.4,4,"pearson",0.227
"275",25,0.4,4,"pearson",0.381666666666667
"276",50,0.4,4,"pearson",0.699666666666667
"277",8,0.45,4,"pearson",0.146666666666667
"278",15,0.45,4,"pearson",0.300666666666667
"279",25,0.45,4,"pearson",0.482333333333333
"280",50,0.45,4,"pearson",0.802666666666667
"281",8,0.5,4,"pearson",0.175333333333333
"282",15,0.5,4,"pearson",0.354666666666667
"283",25,0.5,4,"pearson",0.585666666666667
"284",50,0.5,4,"pearson",0.876666666666667
"285",8,0.55,4,"pearson",0.217
"286",15,0.55,4,"pearson",0.457
