"n","rho","k","method","rej"
"622",15,0.75,3,"spearman",0.881333333333333
"623",25,0.75,3,"spearman",0.987
"624",50,0.75,3,"spearman",1
"625",8,0.8,3,"spearman",0.595
"626",15,0.8,3,"spearman",0.942
"627",25,0.8,3,"spearman",0.996666666666667
"628",50,0.8,3,"spearman",1
"629",8,0.85,3,"spearman",0.708666666666667
"630",15,0.85,3,"spearman",0.978
"631",25,0.85,3,"spearman",0.999666666666667
"632",50,0.85,3,"spearman",1
"633",8,0.9,3,"spearman",0.832666666666667
"634",15,0.9,3,"spearman",0.996666666666667
"635",25,0.9,3,"spearman",1
"636",50,0.9,3,"spearman",1
"637",8,0.95,3,"spearman",0.939
"638",15,0.95,3,"spearman",0.999666666666667
"639",25,0.95,3,"spearman",1
"640",50,0.95,3,"spearman",1
"641",8,0,4,"spearman",0.0486666666666667
"642",15,0,4,"spearman",0.0446666666666667
"643",25,0,4,"spearman",0.0473333333333333
"644",50,0,4,"spearman",0.0543333333333333
"645",8,0.05,4,"spearman",0.0446666666666667
"646",15,0.05,4,"spearman",0.05
"647",25,0.05,4,"spearman",0.048
"648",50,0.05,4,"spearman",0.0626666666666667
"649",8,0.1,4,"spearman",0.0576666666666667
"650",15,0.1,4,"spearman",0.0606666666666667
"651",25,0.1,4,"spearman",0.0686666666666667
"652",50,0.1,4,"spearman",0.0953333333333333
"653",8,0.15,4,"spearman",0.0533333333333333
"654",15,0.15,4,"spearman",0.0746666666666667
"655",25,0.15,4,"spearman",0.104
"656",50,0.15,4,"spearman",0.163
"657",8,0.2,4,"spearman",0.0623333333333333
"658",15,0.2,4,"spearman",0.093
"659",25,0.2,4,"spearman",0.141
"660",50,0.2,4,"spearman",0.265666666666667
"661",8,0.25,4,"spearman",0.0753333333333333
"662",15,0.25,4,"spearman",0.132333333333333
"663",25,0.25,4,"spearman",0.198
"664",50,0.25,4,"spearman",0.38
"665",8,0.3,4,"spearman",0.0926666666666667
"666",15,0.3,4,"spearman",0.165
"667",25,0.3,4,"spearman",0.274
"668",50,0.3,4,"spearman",0.517333333333333
"669",8,0.35,4,"spearman",0.111666666666667
"670",15,0.35,4,"spearman",0.222
"671",25,0.35,4,"spearman",0.363333333333333
"672",50,0.35,4,"spearman",0.651666666666667
"673",8,0.4,4,"spearman",0.134333333333333
"674",15,0.4,4,"spearman",0.271333333333333
"675",25,0.4,4,"spearman",0.480666666666667
"676",50,0.4,4,"spearman",0.791333333333333
"677",8,0.45,4,"spearman",0.150333333333333
"678",15,0.45,4,"spearman",0.351333333333333
"679",25,0.45,4,"spearman",0.58
"680",50,0.45,4,"spearman",0.881
"681",8,0.5,4,"spearman",0.190333333333333
"682",15,0.5,4,"spearman",0.43
"683",25,0.5,4,"spearman",0.692666666666667
"684",50,0.5,4,"spearman",0.944666666666667
"685",8,0.55,4,"spearman",0.234666666666667
"686",15,0.55,4,"spearman",0.513
"687",25,0.55,4,"spearman",0.778
"688",50,0.55,4,"spearman",0.981
"689",8,0.6,4,"spearman",0.278333333333333
"690",15,0.6,4,"spearman",0.607666666666667
"691",25,0.6,4,"spearman",0.875333333333333
"692",50,0.6,4,"spearman",0.994
"693",8,0.65,4,"spearman",0.360333333333333
"694",15,0.65,4,"spearman",0.709666666666667
"695",25,0.65,4,"spearman",0.924333333333333
"696",50,0.65,4,"spearman",0.998
"697",8,0.7,4,"spearman",0.404666666666667
"698",15,0.7,4,"spearman",0.797666666666667
"699",25,0.7,4,"spearman",0.963666666666667
"700",50,0.7,4,"spearman",1
"701",8,0.75,4,"spearman",0.494666666666667
"702",15,0.75,4,"spearman",0.878666666666667
"703",25,0.75,4,"spearman",0.989333333333333
"704",50,0.75,4,"spearman",1
"705",8,0.8,4,"spearman",0.603
"706",15,0.8,4,"spearman",0.934333333333333
"707",25,0.8,4,"spearman",0.997333333333333
"708",50,0.8,4,"spearman",1
"709",8,0.85,4,"spearman",0.711333333333333
"710",15,0.85,4,"spearman",0.978333333333333
"711",25,0.85,4,"spearman",1
"712",50,0.85,4,"spearman",1
"713",8,0.9,4,"spearman",0.838
"714",15,0.9,4,"spearman",0.993666666666667
"715",25,0.9,4,"spearman",1
"716",50,0.9,4,"spearman",1
"717",8,0.95,4,"spearman",0.943666666666667
"718",15,0.95,4,"spearman",1
"719",25,0.95,4,"spearman",1
"720",50,0.95,4,"spearman",1
"721",8,0,5,"spearman",0.048
"722",15,0,5,"spearman",0.0503333333333333
"723",25,0,5,"spearman",0.059
"724",50,0,5,"spearman",0.051
"725",8,0.05,5,"spearman",0.0473333333333333
"726",15,0.05,5,"spearman",0.0476666666666667
"727",25,0.05,5,"spearman",0.044
"728",50,0.05,5,"spearman",0.059
"729",8,0.1,5,"spearman",0.0506666666666667
"730",15,0.1,5,"spearman",0.0613333333333333
"731",25,0.1,5,"spearman",0.065
"732",50,0.1,5,"spearman",0.103666666666667
"733",8,0.15,5,"spearman",0.053
"734",15,0.15,5,"spearman",0.0803333333333333
"735",25,0.15,5,"spearman",0.110666666666667
"736",50,0.15,5,"spearman",0.171
"737",8,0.2,5,"spearman",0.063
"738",15,0.2,5,"spearman",0.096
"739",25,0.2,5,"spearman",0.15
"740",50,0.2,5,"spearman",0.257
"741",8,0.25,5,"spearman",0.07
"742",15,0.25,5,"spearman",0.124333333333333
"743",25,0.25,5,"spearman",0.201666666666667
"744",50,0.25,5,"spearman",0.377333333333333
"745",8,0.3,5,"spearman",0.0863333333333333
"746",15,0.3,5,"spearman",0.154
"747",25,0.3,5,"spearman",0.284333333333333
"748",50,0.3,5,"spearman",0.510666666666667
"749",8,0.35,5,"spearman",0.110333333333333
"750",15,0.35,5,"spearman",0.214
"751",25,0.35,5,"spearman",0.363333333333333
"752",50,0.35,5,"spearman",0.660333333333333
"753",8,0.4,5,"spearman",0.138333333333333
"754",15,0.4,5,"spearman",0.277666666666667
"755",25,0.4,5,"spearman",0.473333333333333
"756",50,0.4,5,"spearman",0.787666666666667
"757",8,0.45,5,"spearman",0.151
"758",15,0.45,5,"spearman",0.347666666666667
"759",25,0.45,5,"spearman",0.575666666666667
"760",50,0.45,5,"spearman",0.886
"761",8,0.5,5,"spearman",0.196333333333333
"762",15,0.5,5,"spearman",0.425
"763",25,0.5,5,"spearman",0.66
"764",50,0.5,5,"spearman",0.951666666666667
"765",8,0.55,5,"spearman",0.242333333333333
"766",15,0.55,5,"spearman",0.511333333333333
"767",25,0.55,5,"spearman",0.785
"768",50,0.55,5,"spearman",0.985
"769",8,0.6,5,"spearman",0.281666666666667
"770",15,0.6,5,"spearman",0.609
"771",25,0.6,5,"spearman",0.873666666666667
"772",50,0.6,5,"spearman",0.993333333333333
"773",8,0.65,5,"spearman",0.349
"774",15,0.65,5,"spearman",0.703666666666667
"775",25,0.65,5,"spearman",0.924333333333333
"776",50,0.65,5,"spearman",0.999333333333333
"777",8,0.7,5,"spearman",0.409333333333333
"778",15,0.7,5,"spearman",0.788
"779",25,0.7,5,"spearman",0.961
"780",50,0.7,5,"spearman",1
"781",8,0.75,5,"spearman",0.488666666666667
"782",15,0.75,5,"spearman",0.876666666666667
"783",25,0.75,5,"spearman",0.985666666666667
"784",50,0.75,5,"spearman",1
"785",8,0.8,5,"spearman",0.596
"786",15,0.8,5,"spearman",0.943
"787",25,0.8,5,"spearman",0.995333333333333
"788",50,0.8,5,"spearman",1
"789",8,0.85,5,"spearman",0.696666666666667
"790",15,0.85,5,"spearman",0.979
"791",25,0.85,5,"spearman",0.999333333333333
"792",50,0.85,5,"spearman",1
"793",8,0.9,5,"spearman",0.822666666666667
"794",15,0.9,5,"spearman",0.996333333333333
"795",25,0.9,5,"spearman",1
"796",50,0.9,5,"spearman",1
"797",8,0.95,5,"spearman",0.943333333333333
"798",15,0.95,5,"spearman",0.999666666666667
"799",25,0.95,5,"spearman",1
"800",50,0.95,5,"spearman",1
"801",8,0,1,"kendall",0.0336666666666667
"802",15,0,1,"kendall",0.046
"803",25,0,1,"kendall",0.0503333333333333
"804",50,0,1,"kendall",0.0493333333333333
"805",8,0.05,1,"kendall",0.031
"806",15,0.05,1,"kendall",0.0416666666666667
"807",25,0.05,1,"kendall",0.0433333333333333
"808",50,0.05,1,"kendall",0.0713333333333333
"809",8,0.1,1,"kendall",0.0353333333333333
"810",15,0.1,1,"kendall",0.0596666666666667
"811",25,0.1,1,"kendall",0.0673333333333333
"812",50,0.1,1,"kendall",0.105333333333333
"813",8,0.15,1,"kendall",0.0413333333333333
"814",15,0.15,1,"kendall",0.0696666666666667
"815",25,0.15,1,"kendall",0.096
"816",50,0.15,1,"kendall",0.182333333333333
"817",8,0.2,1,"kendall",0.0446666666666667
"818",15,0.2,1,"kendall",0.0993333333333333
"819",25,0.2,1,"kendall",0.141333333333333
"820",50,0.2,1,"kendall",0.265333333333333
"821",8,0.25,1,"kendall",0.0506666666666667
"822",15,0.25,1,"kendall",0.121
"823",25,0.25,1,"kendall",0.192333333333333
"824",50,0.25,1,"kendall",0.381333333333333
"825",8,0.3,1,"kendall",0.0653333333333333
"826",15,0.3,1,"kendall",0.154
"827",25,0.3,1,"kendall",0.261333333333333
"828",50,0.3,1,"kendall",0.535666666666667
"829",8,0.35,1,"kendall",0.086
"830",15,0.35,1,"kendall",0.209666666666667
"831",25,0.35,1,"kendall",0.366
"832",50,0.35,1,"kendall",0.673
"833",8,0.4,1,"kendall",0.101
"834",15,0.4,1,"kendall",0.249333333333333
"835",25,0.4,1,"kendall",0.439333333333333
"836",50,0.4,1,"kendall",0.783666666666667
"837",8,0.45,1,"kendall",0.113666666666667
"838",15,0.45,1,"kendall",0.332333333333333
"839",25,0.45,1,"kendall",0.546666666666667
"840",50,0.45,1,"kendall",0.890333333333333
"841",8,0.5,1,"kendall",0.143333333333333
"842",15,0.5,1,"kendall",0.41
"843",25,0.5,1,"kendall",0.668666666666667
"844",50,0.5,1,"kendall",0.95
"845",8,0.55,1,"kendall",0.180666666666667
"846",15,0.55,1,"kendall",0.505
"847",25,0.55,1,"kendall",0.763666666666667
"848",50,0.55,1,"kendall",0.984
"849",8,0.6,1,"kendall",0.224
"850",15,0.6,1,"kendall",0.609666666666667
"851",25,0.6,1,"kendall",0.855
"852",50,0.6,1,"kendall",0.993
"853",8,0.65,1,"kendall",0.280333333333333
"854",15,0.65,1,"kendall",0.699666666666667
"855",25,0.65,1,"kendall",0.923333333333333
"856",50,0.65,1,"kendall",0.998666666666667
"857",8,0.7,1,"kendall",0.343333333333333
"858",15,0.7,1,"kendall",0.799
"859",25,0.7,1,"kendall",0.968666666666667
"860",50,0.7,1,"kendall",1
"861",8,0.75,1,"kendall",0.416333333333333
"862",15,0.75,1,"kendall",0.868666666666667
"863",25,0.75,1,"kendall",0.987
"864",50,0.75,1,"kendall",1
"865",8,0.8,1,"kendall",0.528666666666667
"866",15,0.8,1,"kendall",0.933666666666667
"867",25,0.8,1,"kendall",0.996
"868",50,0.8,1,"kendall",1
"869",8,0.85,1,"kendall",0.631333333333333
"870",15,0.85,1,"kendall",0.976
"871",25,0.85,1,"kendall",0.999666666666667
"872",50,0.85,1,"kendall",1
"873",8,0.9,1,"kendall",0.767333333333333
"874",15,0.9,1,"kendall",0.996
"875",25,0.9,1,"kendall",1
"876",50,0.9,1,"kendall",1
"877",8,0.95,1,"kendall",0.915666666666667
"878",15,0.95,1,"kendall",0.999333333333333
"879",25,0.95,1,"kendall",1
"880",50,0.95,1,"kendall",1
"881",8,0,2,"kendall",0.0336666666666667
"882",15,0,2,"kendall",0.0483333333333333
"883",25,0,2,"kendall",0.0456666666666667
"884",50,0,2,"kendall",0.0466666666666667
"885",8,0.05,2,"kendall",0.0293333333333333
"886",15,0.05,2,"kendall",0.048
"887",25,0.05,2,"kendall",0.0533333333333333
"888",50,0.05,2,"kendall",0.0663333333333333
"889",8,0.1,2,"kendall",0.037
"890",15,0.1,2,"kendall",0.0606666666666667
"891",25,0.1,2,"kendall",0.0783333333333333
"892",50,0.1,2,"kendall",0.105333333333333
"893",8,0.15,2,"kendall",0.035
"894",15,0.15,2,"kendall",0.071
"895",25,0.15,2,"kendall",0.0973333333333333
"896",50,0.15,2,"kendall",0.168
"897",8,0.2,2,"kendall",0.04
"898",15,0.2,2,"kendall",0.0983333333333333
"899",25,0.2,2,"kendall",0.136666666666667
"900",50,0.2,2,"kendall",0.262666666666667
"901",8,0.25,2,"kendall",0.057
"902",15,0.25,2,"kendall",0.120333333333333
"903",25,0.25,2,"kendall",0.192666666666667
"904",50,0.25,2,"kendall",0.376333333333333
"905",8,0.3,2,"kendall",0.0626666666666667
"906",15,0.3,2,"kendall",0.16
"907",25,0.3,2,"kendall",0.275
"908",50,0.3,2,"kendall",0.515
"909",8,0.35,2,"kendall",0.0796666666666667
"910",15,0.35,2,"kendall",0.211666666666667
"911",25,0.35,2,"kendall",0.364666666666667
"912",50,0.35,2,"kendall",0.656333333333333
"913",8,0.4,2,"kendall",0.0953333333333333
"914",15,0.4,2,"kendall",0.255666666666667
"915",25,0.4,2,"kendall",0.44
"916",50,0.4,2,"kendall",0.783666666666667
"917",8,0.45,2,"kendall",0.117
"918",15,0.45,2,"kendall",0.323666666666667
"919",25,0.45,2,"kendall",0.547333333333333
"920",50,0.45,2,"kendall",0.874333333333333
"921",8,0.5,2,"kendall",0.148333333333333
"922",15,0.5,2,"kendall",0.404666666666667
"923",25,0.5,2,"kendall",0.669666666666667
"924",50,0.5,2,"kendall",0.942333333333333
"925",8,0.55,2,"kendall",0.182333333333333
"926",15,0.55,2,"kendall",0.499333333333333
"927",25,0.55,2,"kendall",0.770333333333333
"928",50,0.55,2,"kendall",0.982333333333333
"929",8,0.6,2,"kendall",0.227333333333333
"930",15,0.6,2,"kendall",0.619333333333333
"931",25,0.6,2,"kendall",0.860666666666667
"932",50,0.6,2,"kendall",0.994666666666667
"933",8,0.65,2,"kendall",0.274
"934",15,0.65,2,"kendall",0.680333333333333
"935",25,0.65,2,"kendall",0.924333333333333
"936",50,0.65,2,"kendall",0.998333333333333
"937",8,0.7,2,"kendall",0.328
"938",15,0.7,2,"kendall",0.789666666666667
"939",25,0.7,2,"kendall",0.969333333333333
"940",50,0.7,2,"kendall",1
"941",8,0.75,2,"kendall",0.417666666666667
"942",15,0.75,2,"kendall",0.867
"943",25,0.75,2,"kendall",0.988666666666667
"944",50,0.75,2,"kendall",1
"945",8,0.8,2,"kendall",0.512333333333333
"946",15,0.8,2,"kendall",0.940333333333333
"947",25,0.8,2,"kendall",0.997333333333333
"948",50,0.8,2,"kendall",1
"949",8,0.85,2,"kendall",0.638333333333333
"950",15,0.85,2,"kendall",0.979
"951",25,0.85,2,"kendall",0.999666666666667
"952",50,0.85,2,"kendall",1
"953",8,0.9,2,"kendall",0.757666666666667
"954",15,0.9,2,"kendall",0.994333333333333
"955",25,0.9,2,"kendall",1
"956",50,0.9,2,"kendall",1
"957",8,0.95,2,"kendall",0.902333333333333
"958",15,0.95,2,"kendall",1
"959",25,0.95,2,"kendall",1
"960",50,0.95,2,"kendall",1
"961",8,0,3,"kendall",0.031
"962",15,0,3,"kendall",0.0456666666666667
"963",25,0,3,"kendall",0.0426666666666667
"964",50,0,3,"kendall",0.0456666666666667
"965",8,0.05,3,"kendall",0.0356666666666667
"966",15,0.05,3,"kendall",0.05
"967",25,0.05,3,"kendall",0.0586666666666667
"968",50,0.05,3,"kendall",0.067
"969",8,0.1,3,"kendall",0.0383333333333333
"970",15,0.1,3,"kendall",0.054
"971",25,0.1,3,"kendall",0.0653333333333333
"972",50,0.1,3,"kendall",0.0983333333333333
"973",8,0.15,3,"kendall",0.039
"974",15,0.15,3,"kendall",0.0783333333333333
"975",25,0.15,3,"kendall",0.0993333333333333
"976",50,0.15,3,"kendall",0.176666666666667
"977",8,0.2,3,"kendall",0.0456666666666667
"978",15,0.2,3,"kendall",0.0956666666666667
"979",25,0.2,3,"kendall",0.133333333333333
"980",50,0.2,3,"kendall",0.260666666666667
"981",8,0.25,3,"kendall",0.058
"982",15,0.25,3,"kendall",0.125333333333333
"983",25,0.25,3,"kendall",0.180666666666667
"984",50,0.25,3,"kendall",0.363666666666667
"985",8,0.3,3,"kendall",0.0646666666666667
"986",15,0.3,3,"kendall",0.16
"987",25,0.3,3,"kendall",0.259
"988",50,0.3,3,"kendall",0.516666666666667
"989",8,0.35,3,"kendall",0.0776666666666667
"990",15,0.35,3,"kendall",0.201333333333333
"991",25,0.35,3,"kendall",0.354333333333333
"992",50,0.35,3,"kendall",0.657333333333333
"993",8,0.4,3,"kendall",0.101666666666667
"994",15,0.4,3,"kendall",0.277333333333333
"995",25,0.4,3,"kendall",0.434
"996",50,0.4,3,"kendall",0.781666666666667
"997",8,0.45,3,"kendall",0.118
"998",15,0.45,3,"kendall",0.323666666666667
"999",25,0.45,3,"kendall",0.561
"1000",50,0.45,3,"kendall",0.884666666666667
"1001",8,0.5,3,"kendall",0.137
"1002",15,0.5,3,"kendall",0.408333333333333
"1003",25,0.5,3,"kendall",0.675
"1004",50,0.5,3,"kendall",0.944666666666667
"1005",8,0.55,3,"kendall",0.192333333333333
"1006",15,0.55,3,"kendall",0.503666666666667
"1007",25,0.55,3,"kendall",0.776333333333333
"1008",50,0.55,3,"kendall",0.983666666666667
"1009",8,0.6,3,"kendall",0.229666666666667
"1010",15,0.6,3,"kendall",0.593333333333333
"1011",25,0.6,3,"kendall",0.859333333333333
"1012",50,0.6,3,"kendall",0.993666666666667
"1013",8,0.65,3,"kendall",0.277333333333333
"1014",15,0.65,3,"kendall",0.689666666666667
"1015",25,0.65,3,"kendall",0.924
"1016",50,0.65,3,"kendall",0.999
"1017",8,0.7,3,"kendall",0.341
"1018",15,0.7,3,"kendall",0.797
"1019",25,0.7,3,"kendall",0.958666666666667
"1020",50,0.7,3,"kendall",1
"1021",8,0.75,3,"kendall",0.407333333333333
"1022",15,0.75,3,"kendall",0.865333333333333
"1023",25,0.75,3,"kendall",0.987666666666667
"1024",50,0.75,3,"kendall",1
"1025",8,0.8,3,"kendall",0.51
"1026",15,0.8,3,"kendall",0.936
"1027",25,0.8,3,"kendall",0.997666666666667
"1028",50,0.8,3,"kendall",1
"1029",8,0.85,3,"kendall",0.624333333333333
"1030",15,0.85,3,"kendall",0.976666666666667
"1031",25,0.85,3,"kendall",0.999666666666667
"1032",50,0.85,3,"kendall",1
"1033",8,0.9,3,"kendall",0.783666666666667
"1034",15,0.9,3,"kendall",0.993666666666667
"1035",25,0.9,3,"kendall",1
"1036",50,0.9,3,"kendall",1
"1037",8,0.95,3,"kendall",0.921333333333333
"1038",15,0.95,3,"kendall",1
"1039",25,0.95,3,"kendall",1
"1040",50,0.95,3,"kendall",1
"1041",8,0,4,"kendall",0.0253333333333333
"1042",15,0,4,"kendall",0.0496666666666667
"1043",25,0,4,"kendall",0.0403333333333333
"1044",50,0,4,"kendall",0.05
"1045",8,0.05,4,"kendall",0.028
"1046",15,0.05,4,"kendall",0.0513333333333333
"1047",25,0.05,4,"kendall",0.0553333333333333
"1048",50,0.05,4,"kendall",0.0653333333333333
"1049",8,0.1,4,"kendall",0.0386666666666667
"1050",15,0.1,4,"kendall",0.0606666666666667
"1051",25,0.1,4,"kendall",0.0723333333333333
"1052",50,0.1,4,"kendall",0.113666666666667
"1053",8,0.15,4,"kendall",0.0426666666666667
"1054",15,0.15,4,"kendall",0.0726666666666667
"1055",25,0.15,4,"kendall",0.0926666666666667
"1056",50,0.15,4,"kendall",0.153333333333333
"1057",8,0.2,4,"kendall",0.0423333333333333
"1058",15,0.2,4,"kendall",0.0956666666666667
"1059",25,0.2,4,"kendall",0.140333333333333
"1060",50,0.2,4,"kendall",0.254666666666667
"1061",8,0.25,4,"kendall",0.0576666666666667
"1062",15,0.25,4,"kendall",0.119333333333333
"1063",25,0.25,4,"kendall",0.194666666666667
"1064",50,0.25,4,"kendall",0.397
"1065",8,0.3,4,"kendall",0.0606666666666667
"1066",15,0.3,4,"kendall",0.161333333333333
"1067",25,0.3,4,"kendall",0.263333333333333
"1068",50,0.3,4,"kendall",0.492666666666667
"1069",8,0.35,4,"kendall",0.0776666666666667
"1070",15,0.35,4,"kendall",0.223333333333333
"1071",25,0.35,4,"kendall",0.362333333333333
"1072",50,0.35,4,"kendall",0.663333333333333
"1073",8,0.4,4,"kendall",0.0873333333333333
"1074",15,0.4,4,"kendall",0.271666666666667
"1075",25,0.4,4,"kendall",0.460333333333333
"1076",50,0.4,4,"kendall",0.79
"1077",8,0.45,4,"kendall",0.106333333333333
"1078",15,0.45,4,"kendall",0.34
"1079",25,0.45,4,"kendall",0.577666666666667
"1080",50,0.45,4,"kendall",0.888
"1081",8,0.5,4,"kendall",0.134333333333333
"1082",15,0.5,4,"kendall",0.419666666666667
"1083",25,0.5,4,"kendall",0.678
"1084",50,0.5,4,"kendall",0.943333333333333
"1085",8,0.55,4,"kendall",0.188
"1086",15,0.55,4,"kendall",0.499666666666667
"1087",25,0.55,4,"kendall",0.763333333333333
"1088",50,0.55,4,"kendall",0.98
"1089",8,0.6,4,"kendall",0.216
"1090",15,0.6,4,"kendall",0.624333333333333
"1091",25,0.6,4,"kendall",0.864
"1092",50,0.6,4,"kendall",0.994666666666667
"1093",8,0.65,4,"kendall",0.277666666666667
"1094",15,0.65,4,"kendall",0.693666666666667
"1095",25,0.65,4,"kendall",0.919666666666667
"1096",50,0.65,4,"kendall",0.998666666666667
"1097",8,0.7,4,"kendall",0.329
"1098",15,0.7,4,"kendall",0.794666666666667
"1099",25,0.7,4,"kendall",0.963666666666667
"1100",50,0.7,4,"kendall",1
"1101",8,0.75,4,"kendall",0.405666666666667
"1102",15,0.75,4,"kendall",0.872333333333333
"1103",25,0.75,4,"kendall",0.993333333333333
"1104",50,0.75,4,"kendall",1
"1105",8,0.8,4,"kendall",0.530333333333333
"1106",15,0.8,4,"kendall",0.937333333333333
"1107",25,0.8,4,"kendall",0.997
"1108",50,0.8,4,"kendall",1
"1109",8,0.85,4,"kendall",0.626
"1110",15,0.85,4,"kendall",0.975666666666667
"1111",25,0.85,4,"kendall",1
"1112",50,0.85,4,"kendall",1
"1113",8,0.9,4,"kendall",0.780333333333333
"1114",15,0.9,4,"kendall",0.997
"1115",25,0.9,4,"kendall",1
"1116",50,0.9,4,"kendall",1
"1117",8,0.95,4,"kendall",0.913666666666667
"1118",15,0.95,4,"kendall",1
"1119",25,0.95,4,"kendall",1
"1120",50,0.95,4,"kendall",1
"1121",8,0,5,"kendall",0.0323333333333333
"1122",15,0,5,"kendall",0.04
"1123",25,0,5,"kendall",0.0466666666666667
"1124",50,0,5,"kendall",0.046
"1125",8,0.05,5,"kendall",0.0343333333333333
"1126",15,0.05,5,"kendall",0.0516666666666667
"1127",25,0.05,5,"kendall",0.052
"1128",50,0.05,5,"kendall",0.067
"1129",8,0.1,5,"kendall",0.037
"1130",15,0.1,5,"kendall",0.056
"1131",25,0.1,5,"kendall",0.0656666666666667
"1132",50,0.1,5,"kendall",0.0936666666666667
"1133",8,0.15,5,"kendall",0.041
"1134",15,0.15,5,"kendall",0.057
"1135",25,0.15,5,"kendall",0.093
"1136",50,0.15,5,"kendall",0.164
"1137",8,0.2,5,"kendall",0.051
"1138",15,0.2,5,"kendall",0.0953333333333333
"1139",25,0.2,5,"kendall",0.131666666666667
"1140",50,0.2,5,"kendall",0.263666666666667
"1141",8,0.25,5,"kendall",0.0536666666666667
"1142",15,0.25,5,"kendall",0.118
"1143",25,0.25,5,"kendall",0.196666666666667
"1144",50,0.25,5,"kendall",0.388666666666667
"1145",8,0.3,5,"kendall",0.067
"1146",15,0.3,5,"kendall",0.154666666666667
"1147",25,0.3,5,"kendall",0.268333333333333
"1148",50,0.3,5,"kendall",0.533333333333333
"1149",8,0.35,5,"kendall",0.078
"1150",15,0.35,5,"kendall",0.201333333333333
"1151",25,0.35,5,"kendall",0.363666666666667
"1152",50,0.35,5,"kendall",0.647
"1153",8,0.4,5,"kendall",0.0893333333333333
"1154",15,0.4,5,"kendall",0.275
"1155",25,0.4,5,"kendall",0.451333333333333
"1156",50,0.4,5,"kendall",0.784
"1157",8,0.45,5,"kendall",0.114666666666667
"1158",15,0.45,5,"kendall",0.335333333333333
"1159",25,0.45,5,"kendall",0.564666666666667
"1160",50,0.45,5,"kendall",0.888333333333333
"1161",8,0.5,5,"kendall",0.146
"1162",15,0.5,5,"kendall",0.411666666666667
"1163",25,0.5,5,"kendall",0.671666666666667
"1164",50,0.5,5,"kendall",0.946
"1165",8,0.55,5,"kendall",0.184
"1166",15,0.55,5,"kendall",0.512
"1167",25,0.55,5,"kendall",0.762333333333333
"1168",50,0.55,5,"kendall",0.980666666666667
"1169",8,0.6,5,"kendall",0.223
"1170",15,0.6,5,"kendall",0.604666666666667
"1171",25,0.6,5,"kendall",0.853
"1172",50,0.6,5,"kendall",0.992666666666667
"1173",8,0.65,5,"kendall",0.268666666666667
"1174",15,0.65,5,"kendall",0.699666666666667
"1175",25,0.65,5,"kendall",0.918666666666667
"1176",50,0.65,5,"kendall",0.998333333333333
"1177",8,0.7,5,"kendall",0.331666666666667
"1178",15,0.7,5,"kendall",0.788666666666667
"1179",25,0.7,5,"kendall",0.966666666666667
"1180",50,0.7,5,"kendall",1
"1181",8,0.75,5,"kendall",0.419666666666667
"1182",15,0.75,5,"kendall",0.875
"1183",25,0.75,5,"kendall",0.989
"1184",50,0.75,5,"kendall",1
"1185",8,0.8,5,"kendall",0.509
"1186",15,0.8,5,"kendall",0.935333333333333
"1187",25,0.8,5,"kendall",0.997666666666667
"1188",50,0.8,5,"kendall",1
"1189",8,0.85,5,"kendall",0.631333333333333
"1190",15,0.85,5,"kendall",0.972
"1191",25,0.85,5,"kendall",1
"1192",50,0.85,5,"kendall",1
"1193",8,0.9,5,"kendall",0.781666666666667
"1194",15,0.9,5,"kendall",0.991666666666667
"1195",25,0.9,5,"kendall",1
"1196",50,0.9,5,"kendall",1
"1197",8,0.95,5,"kendall",0.913
"1198",15,0.95,5,"kendall",0.999666666666667
"1199",25,0.95,5,"kendall",1
"1200",50,0.95,5,"kendall",1
